tract,AgeDependencyRatio,Population,Median_Age,PctMale,PctFemale,PctBlack,PctAmIndian_AlaskaNat,PctAsian,PctNatHaw_PacIsland,PctOther,PctMixed,PctHispanicLatino,PctWhiteNonHisp,PctMinority,Age5andUp,LimitedEngProf5andUP,Age25andUp,LessThanHS,HSOnly,SomeCollege,Bachelors,Grad_Professional,TotalPop16Over,Unemployment,PovertyN,PercPoverty,Total,NativeN,PctNative,ForeignBornN,PctForeignBorn,TotalHHN,FemaleHHN,FemaleHHPct,MedianIncomeHH,TotalHH,OwnerOccN,OwnerOccAfter2015,OwnerOcc2010_2014,OwnerOcc_2009,OwnerOcc2000_2009,OwnerOcc1990_1999,OwnerOcc1980_1989,OwnerOcc1970_1979,RenterOccN,RenterOcc2015,RenterOcc2010_2014,RenterOcc2009,RenterOcc2000_2009,RenterOcc1990_1999,RenterOcc1980_1989,RenterOcc1979,AllOcc2009N,AllOcc2009Pct,TotalPop5Over,PctEnglishVeryWell,PctEnglishLessWell,PctEnglishLessWell_Spanish,UnitsTotal,OccUnitsN,PctOccHousing,VacantUnitsN,PctVacHousing,HHNOcc,OwnOccNOcc,OwnerOcc1_01_1_5,OwnerOcc1_51_2_0,OwnerOcc2_01_more_or_mor,OwnerOcc01_01_more,RentOccNOcc,RenterOc1_01_1_5,RenterOc1_51_2_0,RenterOc2_01_more_oor_mo,RenterOcc1_01_more,AnyOcc1_01_moreN,AnyOcc1_01_morePct,PovPopMeasured,BelowPovN,PctBelowPoverty,Below50PovN,PctBelow50Pct,Below125PovN,PctBelow125Pov,Below150PovN,PctBelow150Pov,Below185PovN,PctBelow185Pov,Below200PovN,PctBelow200Pov,TotalHHAssist,PublicAssistanceN,PublicAssistancePct,NoPublicAssistanceN
140100,47.1,3643,31.3,51.7,48.3,9.1,0,11.3,0,21.1,2.2,51.6,26.5,73.5,3296,41,2299,39.1,19.3,22,14.1,5.4,2780,7.2,761,0.273741007,3643,1809,0.496568762,1834,0.503431238,1152,200,0.173611111,36770,1152,258,0,40,218,147,19,34,18,894,8,548,338,279,41,11,7,556,0.482638889,3296,59,41,58.3,1270,1152,0.907086614,118,0.092913386,1152,258,0,0,0,0,894,116,9,0,125,125,0.108506944,3643,1416,38.9,445,0.122152072,1647,0.452099918,1802,0.494647269,2207,0.60581938,2276,0.624759813,1152,322,0.279513889,830
140200,29.2,6002,28.2,50.3,49.7,5.7,0,17.7,0.9,16.2,4.3,47.9,26.2,73.8,5721,35.2,3331,28.2,23.6,18.4,21,8.8,5128,6.4,617,0.120319813,6002,3156,0.525824725,2846,0.474175275,1599,166,0.103814884,42074,1599,387,0,63,324,165,103,39,17,1212,34,657,521,409,66,37,9,845,0.528455285,5721,64.8,35.2,59.4,1860,1599,0.859677419,261,0.140322581,1599,387,0,0,0,0,1212,162,50,22,234,234,0.146341463,4771,1073,22.5,415,0.086983861,1349,0.282749948,1434,0.300565919,2558,0.536155942,2712,0.568434291,1599,376,0.235146967,1223
140301,42.8,2798,32.1,56.4,43.6,2,0,25.7,0,36.2,0.4,60.4,12.8,87.2,2480,57.1,1849,32.7,21,18.9,21.7,5.7,2160,3.8,364,0.168518519,2798,1057,0.377769836,1741,0.622230164,740,133,0.17972973,43286,740,260,0,37,223,173,22,16,12,480,13,253,214,156,43,15,0,437,0.590540541,2480,42.9,57.1,70.3,921,740,0.803474484,181,0.196525516,740,260,16,0,0,16,480,80,28,29,137,153,0.206756757,2798,645,23.1,371,0.132594711,977,0.349177984,1099,0.392780558,1316,0.470335954,1436,0.513223731,740,149,0.201351351,591
140302,66.6,4288,38,51,49,5.1,0,19.8,0,18.7,6.1,40.1,30.8,69.2,4003,31.2,2954,22,21.7,27.7,15,13.6,3377,13.1,333,0.098608232,4288,2568,0.598880597,1720,0.401119403,1345,183,0.13605948,51795,1345,564,0,95,469,268,75,64,62,781,42,394,345,311,34,0,0,814,0.605204461,4003,68.8,31.2,51.2,1430,1345,0.940559441,85,0.059440559,1345,564,0,0,0,0,781,102,17,9,128,128,0.095167286,3925,884,22.5,466,0.118726115,1241,0.316178344,1432,0.364840764,1798,0.458089172,1841,0.469044586,1345,235,0.17472119,1110
140400,54.3,7319,39.6,46.6,53.4,0.2,0,28.6,0,7.4,5.9,27.2,41.5,58.5,6834,27.8,5166,12.6,27.6,26.5,15.7,17.7,5921,5.9,334,0.05640939,7319,4551,0.621806258,2768,0.378193742,2240,324,0.144642857,70179,2240,1439,0,276,1163,357,423,142,241,801,0,357,444,400,23,12,9,1607,0.717410714,6834,72.2,27.8,42.3,2367,2240,0.946345585,127,0.053654415,2240,1439,84,0,0,84,801,40,19,0,59,143,0.063839286,7319,692,9.5,85,0.011613608,993,0.135674272,1104,0.150840279,1657,0.226397049,1975,0.269845607,2240,345,0.154017857,1895
140500,60,4352,33.9,49.7,50.3,4,0,17.4,0,15.9,7.4,47.6,30.4,69.6,3947,32.1,2829,23,30.4,23.8,15.1,7.7,3234,10.6,435,0.134508349,4352,2322,0.533547794,2030,0.466452206,1265,253,0.2,54107,1265,625,0,95,530,171,163,116,80,640,7,270,363,320,43,0,0,893,0.705928854,3947,67.9,32.1,46.5,1389,1265,0.910727142,124,0.089272858,1265,625,18,17,0,35,640,10,0,33,43,78,0.061660079,4352,764,17.6,73,0.016773897,1068,0.245404412,1216,0.279411765,1582,0.363511029,2079,0.477711397,1265,210,0.166007905,1055
140601,56.1,2951,34.8,56.8,43.2,1.2,0,24.6,0,36.2,2.3,59.1,14.1,85.9,2854,49.5,1942,36.1,29.4,17,11.5,6,2365,11.7,303,0.128118393,2951,1126,0.381565571,1825,0.618434429,857,115,0.134189032,42083,857,325,0,78,247,81,101,9,56,532,14,196,322,248,54,20,0,569,0.663943991,2854,50.5,49.5,58.5,933,857,0.918542337,76,0.081457663,857,325,20,4,0,24,532,11,29,13,53,77,0.089848308,2951,548,18.6,129,0.043713995,696,0.235852253,872,0.295493053,1115,0.377838021,1213,0.411047103,857,258,0.301050175,599
140602,52.1,5356,32.1,51,49,6.4,0,7.1,0,34.4,4.3,65.1,20.7,79.3,4838,36.3,3296,27.8,27.4,22.4,15.2,7.2,4153,17.2,665,0.160125211,5356,2932,0.54742345,2424,0.45257655,1648,305,0.185072816,46053,1648,394,0,66,328,117,113,41,57,1254,8,660,586,501,64,16,5,914,0.55461165,4838,63.7,36.3,52.9,1875,1648,0.878933333,227,0.121066667,1648,394,0,0,0,0,1254,92,17,42,151,151,0.091626214,5356,1203,22.5,277,0.0517177,1649,0.307879014,1914,0.357356236,2693,0.502800597,3265,0.609596714,1648,502,0.30461165,1146
140701,41.9,2642,32.6,48.3,51.7,4,0.8,14.4,0,20.2,7,47.2,28.2,71.8,2483,27.5,1860,13.4,21.1,28.8,24.2,12.5,2046,8,294,0.143695015,2642,1546,0.585162755,1096,0.414837245,979,139,0.141981614,52375,979,282,0,68,214,126,42,24,22,697,57,405,235,171,64,0,0,449,0.458631256,2483,72.5,27.5,44.6,1125,979,0.870222222,146,0.129777778,979,282,26,0,0,26,697,13,73,0,86,112,0.114402451,2642,439,16.6,203,0.076835731,497,0.188115064,759,0.287282362,925,0.35011355,1001,0.378879637,979,154,0.157303371,825
140702,44.6,6072,31.6,53,47,6.7,0.1,7,0,20.2,1.1,67.3,18.9,81.1,5562,43.5,3914,32.9,23,18,19.2,6.9,4661,9.8,787,0.168847887,6072,3282,0.540513834,2790,0.459486166,1979,278,0.140474987,47898,1979,599,5,102,492,252,53,91,96,1380,10,713,657,571,79,7,0,1149,0.580596261,5562,56.5,43.5,63.8,2174,1979,0.910303588,195,0.089696412,1979,599,11,0,0,11,1380,198,33,0,231,242,0.122283982,6057,1458,24.1,584,0.096417368,1933,0.319134885,2533,0.418193825,2909,0.480270761,3384,0.558692422,1979,324,0.16371905,1655
