tract,AgeDependencyRatio,Population,Median_Age,PctMale,PctFemale,PctBlack,PctAmIndian_AlaskaNat,PctAsian,PctNatHaw_PacIsland,PctOther,PctMixed,PctHispanicLatino,PctWhiteNonHisp,PctMinority,Age5andUp,LimitedEngProf5andUP,Age25andUp,LessThanHS,HSOnly,SomeCollege,Bachelors,Grad_Professional,TotalPop16Over,Unemployment,PovertyN,PercPoverty,Total,NativeN,PctNative,ForeignBornN,PctForeignBorn,TotalHHN,FemaleHHN,FemaleHHPct,MedianIncomeHH,TotalHH,OwnerOccN,OwnerOccAfter2015,OwnerOcc2010_2014,OwnerOcc_2009,OwnerOcc2000_2009,OwnerOcc1990_1999,OwnerOcc1980_1989,OwnerOcc1970_1979,RenterOccN,RenterOcc2015,RenterOcc2010_2014,RenterOcc2009,RenterOcc2000_2009,RenterOcc1990_1999,RenterOcc1980_1989,RenterOcc1979,AllOcc2009N,AllOcc2009Pct,TotalPop5Over,PctEnglishVeryWell,PctEnglishLessWell,PctEnglishLessWell_Spanish,UnitsTotal,OccUnitsN,PctOccHousing,VacantUnitsN,PctVacHousing,HHNOcc,OwnOccNOcc,OwnerOcc1_01_1_5,OwnerOcc1_51_2_0,OwnerOcc2_01_more_or_mor,OwnerOcc01_01_more,RentOccNOcc,RenterOc1_01_1_5,RenterOc1_51_2_0,RenterOc2_01_more_oor_mo,RenterOcc1_01_more,AnyOcc1_01_moreN,AnyOcc1_01_morePct,PovPopMeasured,BelowPovN,PctBelowPoverty,Below50PovN,PctBelow50Pct,Below125PovN,PctBelow125Pov,Below150PovN,PctBelow150Pov,Below185PovN,PctBelow185Pov,Below200PovN,PctBelow200Pov,TotalHHAssist,PublicAssistanceN,PublicAssistancePct,NoPublicAssistanceN
10100,30.6,4106,36.6,46.1,53.9,38.6,0,3.8,0,1.6,2.8,11.6,44.6,55.4,3838,3.5,2994,6.6,19.1,34.9,21.4,18,3437,13,781,0.227233052,4106,3486,0.849001461,620,0.150998539,2208,300,0.135869565,32188,2208,367,0,49,318,241,44,0,33,1841,38,965,838,731,83,0,24,1156,0.523550725,3838,96.5,3.5,28.2,2625,2208,0.841142857,417,0.158857143,2208,367,0,0,0,0,1841,0,14,0,14,14,0.00634058,3987,1143,28.7,447,0.112114372,1224,0.306997743,1629,0.408577878,1738,0.435916729,1804,0.452470529,2208,538,0.24365942,1670
10201,39.4,7229,31.8,49.2,50.8,45.6,0.4,3.1,0,0.6,3.6,27.5,21.3,78.7,6548,22.7,4824,21,21.3,28.7,18.4,10.6,5765,9.9,1570,0.272333044,7229,4662,0.644902476,2567,0.355097524,2619,493,0.188239786,39122,2619,648,0,112,536,407,52,33,44,1971,143,1107,721,535,141,31,14,1257,0.479954181,6548,77.3,22.7,61.1,3007,2619,0.870967742,388,0.129032258,2619,648,0,0,0,0,1971,232,68,0,300,300,0.114547537,7216,2402,33.3,1054,0.146064302,2771,0.384007761,3279,0.454406874,3618,0.501385809,4153,0.575526608,2619,722,0.27567774,1897
10202,47.7,2304,37.8,52.7,47.3,29.3,0.5,8,0,8,3,26.4,35.5,64.5,2107,15.9,1680,16.3,20.7,27.1,23.6,12.4,1927,10.9,370,0.192008303,2304,1588,0.689236111,716,0.310763889,1022,119,0.116438356,27318,1022,245,0,58,187,127,0,45,15,777,4,379,394,355,28,11,0,581,0.568493151,2107,84.1,15.9,41.9,1227,1022,0.832925835,205,0.167074165,1022,245,0,0,0,0,777,14,50,0,64,64,0.062622309,1988,588,29.6,138,0.069416499,661,0.33249497,775,0.389839034,908,0.456740443,1081,0.543762575,1022,252,0.246575342,770
10300,44.4,6077,40.1,50.9,49.1,25.4,0.1,12.4,0,2.1,2.7,16.1,45.5,54.5,5705,19.4,4751,22.2,23.4,22.3,20.6,11.5,5311,7.1,708,0.133308228,6077,4118,0.677636992,1959,0.322363008,2739,149,0.054399416,37111,2739,765,0,79,686,345,200,56,85,1974,43,1207,724,585,109,14,16,1410,0.514786418,5705,80.6,19.4,46.8,3264,2739,0.839154412,525,0.160845588,2739,765,0,0,0,0,1974,127,85,51,263,263,0.096020445,5111,1019,19.9,691,0.135198591,1302,0.254744668,1610,0.315006848,2264,0.442966151,2379,0.465466641,2739,514,0.18765973,2225
10400,23.4,5011,25.4,41.2,58.8,13.2,0,6.7,0,1.9,3.5,8.3,69.2,30.8,4815,2.4,2568,0.9,14.8,16.5,35.2,32.6,4542,9.2,566,0.124614707,5011,4331,0.864298543,680,0.135701457,1869,124,0.066345639,38384,1869,427,0,69,358,257,77,10,14,1442,72,751,619,488,101,15,15,977,0.522739433,4815,97.6,2.4,9.6,2199,1869,0.849931787,330,0.150068213,1869,427,0,0,0,0,1442,15,53,0,68,68,0.036383093,3623,655,18.1,445,0.122826387,729,0.201214463,1211,0.334253381,1357,0.374551477,1357,0.374551477,1869,249,0.133226324,1620
10501,23.7,3837,37.8,46.4,53.6,27.1,0,2.4,0,0.4,4.9,6.1,59.5,40.5,3693,6.9,2904,7.4,11.1,29,29.7,22.8,3449,14.5,655,0.189910119,3837,2940,0.766223612,897,0.233776388,2288,166,0.072552448,25309,2288,402,0,11,391,323,50,18,0,1886,30,1256,600,501,88,11,0,991,0.433129371,3693,93.1,6.9,0,2563,2288,0.892703863,275,0.107296137,2288,402,0,0,0,0,1886,50,0,0,50,50,0.021853147,3828,815,21.3,419,0.109456635,1530,0.39968652,1753,0.457941484,2015,0.526384535,2038,0.532392894,2288,478,0.208916084,1810
10502,16.2,3413,28.5,58.9,41.1,17.8,0.2,13.9,0,7.1,2.9,14.9,52.3,47.7,3364,10.7,2031,13.6,11.2,28.8,28.4,18,3052,5.1,1167,0.382372215,3413,2321,0.68004688,1092,0.31995312,1519,81,0.053324556,35822,1519,280,0,47,233,169,6,47,11,1239,33,722,484,410,51,7,16,717,0.472021066,3364,89.3,10.7,12.4,1883,1519,0.80669145,364,0.19330855,1519,280,19,0,0,19,1239,27,67,0,94,113,0.074391047,3326,1303,39.2,906,0.272399278,1475,0.443475646,1499,0.450691521,1754,0.527360192,1847,0.555321708,1519,261,0.171823568,1258
10503,54.1,2080,43.4,50.2,49.8,9.5,0,16.2,0,0,5.8,16.6,53.8,46.2,2042,25.1,1596,23,21.6,12.3,24.4,18.8,1995,10,423,0.212030075,2080,1418,0.681730769,662,0.318269231,1165,32,0.027467811,19813,1165,267,0,6,261,97,9,81,74,898,0,618,280,195,77,8,0,541,0.464377682,2042,74.9,25.1,21.5,1350,1165,0.862962963,185,0.137037037,1165,267,0,0,0,0,898,0,22,0,22,22,0.01888412,2033,779,38.3,395,0.194294147,862,0.424003935,943,0.463846532,987,0.485489424,1005,0.494343335,1165,352,0.302145923,813
10600,32.7,6558,34.5,54.1,45.9,27,0,2.2,0,4.3,6.1,27.1,41.6,58.4,6218,14.8,4640,13.1,18.7,22.5,27.2,18.6,5404,9.1,796,0.147298298,6558,4903,0.747636475,1655,0.252363525,3085,314,0.10178282,37338,3085,691,0,118,573,404,80,81,8,2394,12,1328,1054,851,125,78,0,1627,0.5273906,6218,85.2,14.8,53.4,3270,3085,0.943425076,185,0.056574924,3085,691,0,0,0,0,2394,101,78,17,196,196,0.063533225,6401,1134,17.7,424,0.06623965,1610,0.2515232,1923,0.300421809,2227,0.347914388,2464,0.384939853,3085,406,0.131604538,2679
10701,52.7,3999,34,48.8,51.2,17.7,0,7.6,0,10.7,3.4,38.5,33.4,66.6,3592,22.2,2680,18.4,18.8,18.2,27.3,17.2,2966,9.4,326,0.10991234,3999,2633,0.658414604,1366,0.341585396,1552,155,0.099871134,58319,1552,770,0,137,633,343,164,48,78,782,0,352,430,337,50,8,35,1063,0.68492268,3592,77.8,22.2,38.7,1704,1552,0.910798122,152,0.089201878,1552,770,0,0,0,0,782,70,0,16,86,86,0.055412371,3999,596,14.9,105,0.026256564,911,0.227806952,1188,0.297074269,1568,0.392098025,1867,0.466866717,1552,364,0.234536082,1188
10702,40.9,5163,32.1,48.6,51.4,19.4,0,4.6,0,10.1,4,46.8,25.8,74.2,4838,29.2,3395,25,17.6,18.3,24.8,14.3,3891,11.8,1216,0.312516063,5163,3022,0.585318613,2141,0.414681387,1924,252,0.130977131,35950,1924,507,0,131,376,254,71,43,8,1417,73,822,522,439,83,0,0,898,0.466735967,4838,70.8,29.2,53.7,2242,1924,0.858162355,318,0.141837645,1924,507,14,0,0,14,1417,166,91,26,283,297,0.154365904,5152,1935,37.6,663,0.128687888,2422,0.470108696,2791,0.541731366,3095,0.600737578,3239,0.628687888,1924,575,0.298856549,1349
20100,59.4,3899,36.1,42.5,57.5,30.7,0,19.6,0,3.3,4.5,13.2,31.9,68.1,3547,13.1,2565,13.5,21.1,26.3,24.4,14.6,2891,9.5,377,0.130404704,3899,2755,0.706591434,1144,0.293408566,1473,203,0.137813985,50456,1473,788,0,69,719,480,162,34,43,685,21,423,241,110,42,57,32,960,0.651731161,3547,86.9,13.1,48.5,1702,1473,0.865452409,229,0.134547591,1473,788,30,0,0,30,685,11,18,7,36,66,0.044806517,3899,790,20.3,551,0.141318287,1302,0.333931777,1404,0.360092331,1677,0.430110285,1830,0.469351116,1473,387,0.262729124,1086
20200,70.6,6634,39.1,47.9,52.1,12.2,0,21.7,0,2.6,2.4,10.1,53.6,46.4,5897,24.8,4496,11.1,16.9,26.4,31.5,14,4856,7.4,624,0.128500824,6634,4077,0.614561351,2557,0.385438649,2064,214,0.103682171,63906,2064,1586,60,87,1439,499,315,277,348,478,0,150,328,311,17,0,0,1767,0.856104651,5897,75.2,24.8,58.4,2196,2064,0.93989071,132,0.06010929,2064,1586,76,0,0,76,478,83,36,0,119,195,0.094476744,6634,1100,16.6,668,0.100693398,1563,0.235604462,1821,0.274495026,2002,0.301778716,2205,0.332378655,2064,322,0.156007752,1742
20301,115,5142,42.4,50.2,49.8,6.4,0.7,10.6,0,0.4,1.1,8.9,72.4,27.6,4731,16.9,3511,9,15.9,21.3,31.8,22.1,3898,11.2,193,0.049512571,5142,3513,0.6831972,1629,0.3168028,1960,162,0.082653061,49109,1960,1289,0,258,1031,509,221,133,168,671,30,356,285,203,82,0,0,1316,0.671428571,4731,83.1,16.9,56.8,2215,1960,0.884875847,255,0.115124153,1960,1289,52,0,0,52,671,8,0,0,8,60,0.030612245,5119,563,11,217,0.042391092,769,0.150224653,922,0.180113303,1177,0.22992772,1332,0.260207072,1960,234,0.119387755,1726
20302,58.4,4886,40.9,46.5,53.5,13.7,0,12.7,0,3.7,2.6,18.1,52.9,47.1,4588,22.7,3342,13.2,18,18.1,26.2,24.4,3919,10.7,471,0.12018372,4886,3306,0.676627098,1580,0.323372902,1749,241,0.137793025,60224,1749,930,0,72,858,434,207,77,140,819,0,524,295,234,61,0,0,1153,0.659233848,4588,77.3,22.7,50.5,1888,1749,0.926377119,139,0.073622881,1749,930,0,0,0,0,819,51,0,0,51,51,0.02915952,4470,763,17.1,284,0.063534676,998,0.223266219,1178,0.263534676,1297,0.2901566,1447,0.323713647,1749,189,0.10806175,1560
20400,56.6,4518,38.6,50.6,49.4,15.2,0,16.9,0,5.8,1.5,19.3,47,53,4230,18.2,3068,13.9,19.5,24.1,25.9,16.6,3472,11.2,461,0.132776498,4518,2821,0.624391324,1697,0.375608676,1751,297,0.169617362,56419,1751,817,23,105,689,292,200,83,114,934,53,352,529,441,71,17,0,1218,0.695602513,4230,81.8,18.2,33.3,1875,1751,0.933866667,124,0.066133333,1751,817,0,0,8,8,934,32,13,0,45,53,0.030268418,4507,841,18.7,187,0.041491014,1055,0.23408032,1391,0.308631018,1615,0.358331484,1819,0.403594409,1751,228,0.130211308,1523
20500,60.5,5794,32,50.9,49.1,20.5,0,21.3,0,3.4,9.4,26.1,25.7,74.3,5428,31.2,3973,22.4,27,15.8,23.9,10.9,4448,10.1,563,0.126573741,5794,3233,0.557991025,2561,0.442008975,2089,309,0.147917664,37612,2089,636,0,135,501,251,106,48,96,1453,36,770,647,488,94,28,37,1148,0.549545237,5428,68.8,31.2,63.2,2478,2089,0.843018563,389,0.156981437,2089,636,74,3,0,77,1453,61,48,0,109,186,0.089037817,5544,1567,28.3,1027,0.18524531,2188,0.394660895,2781,0.501623377,3005,0.542027417,3360,0.606060606,2089,572,0.273815223,1517
20601,64.9,6330,33.7,49.2,50.8,5.9,1,23.8,0,1,3.2,10.3,58.4,41.6,5815,39.1,4035,16.6,27.8,21.5,20.8,13.3,4732,13,698,0.14750634,6330,2762,0.436334913,3568,0.563665087,1908,209,0.109538784,40819,1908,767,0,124,643,396,93,42,112,1141,0,612,529,424,53,27,25,1172,0.614255765,5815,60.9,39.1,70.2,2162,1908,0.882516189,254,0.117483811,1908,767,3,12,0,15,1141,156,49,0,205,220,0.115303983,6322,1373,21.7,468,0.074027207,1863,0.294685226,2317,0.366497944,3355,0.530686492,3637,0.575292629,1908,613,0.321278826,1295
20602,60.4,4113,34.6,55.4,44.6,9.7,0,32.5,0,7.6,2.2,24.1,30.5,69.5,3616,27,2668,17.9,21.6,18.9,28.1,13.5,3113,12.5,706,0.226790877,4113,2150,0.522732798,1963,0.477267202,1352,149,0.110207101,43580,1352,459,0,30,429,139,129,37,124,893,16,339,538,440,43,10,45,967,0.715236686,3616,73,27,40.4,1541,1352,0.877352369,189,0.122647631,1352,459,0,0,0,0,893,68,21,0,89,89,0.065828402,4092,1271,31.1,333,0.081378299,1492,0.364613881,1779,0.434750733,2024,0.494623656,2148,0.524926686,1352,336,0.24852071,1016
20701,65.8,1635,40.9,44.9,55.1,1,6.5,20.6,0,2.3,5.3,12.6,55.2,44.8,1539,19.4,1222,12.9,16.9,29.5,18,22.7,1305,9.1,94,0.072030651,1635,1045,0.639143731,590,0.360856269,575,76,0.132173913,68750,575,365,0,36,329,116,107,39,67,210,0,114,96,70,21,5,0,425,0.739130435,1539,80.6,19.4,43,700,575,0.821428571,125,0.178571429,575,365,7,6,0,13,210,3,5,0,8,21,0.036521739,1635,224,13.7,37,0.022629969,276,0.168807339,321,0.196330275,343,0.209785933,343,0.209785933,575,51,0.088695652,524
20702,57.6,7833,32.7,53,47,4,0.2,24.7,0,4.4,5.4,17.3,50.2,49.8,7303,29,4935,28.1,21,19.5,25.3,6,6069,4.7,605,0.099686934,7833,4124,0.526490489,3709,0.473509511,2223,278,0.12505623,54364,2223,946,15,158,773,380,213,105,75,1277,0,459,818,774,31,0,13,1591,0.715699505,7303,71,29,63.1,2580,2223,0.861627907,357,0.138372093,2223,946,13,0,74,87,1277,44,127,0,171,258,0.116059379,7687,1523,19.8,437,0.056849226,1665,0.216599454,2152,0.279953168,2670,0.347339664,3404,0.44282555,2223,568,0.255510571,1655
20801,50.7,4760,39.8,52.4,47.6,2.9,0,22.5,0,3.6,2.9,30.2,41.5,58.5,4591,25.7,3501,24.9,19.1,23.6,14.3,18.1,4022,10.5,570,0.141720537,4760,2847,0.598109244,1913,0.401890756,1956,262,0.13394683,45263,1956,638,0,48,590,211,136,103,140,1318,29,492,797,664,105,28,0,1387,0.709100204,4591,74.3,25.7,36.1,2244,1956,0.871657754,288,0.128342246,1956,638,20,0,0,20,1318,38,20,0,58,78,0.039877301,4760,1031,21.7,399,0.083823529,1387,0.291386555,1468,0.308403361,1581,0.332142857,1703,0.357773109,1956,408,0.208588957,1548
20802,45.5,7508,33.4,52.2,47.8,5.9,0,46.7,0,4.2,3.5,15,29,71,7064,33.8,4934,18.9,23.9,18.4,26.7,12,6019,7.4,1143,0.189898654,7508,2771,0.369072989,4737,0.630927011,2078,193,0.092877767,42346,2078,738,19,67,652,336,227,42,47,1340,60,652,628,552,41,35,0,1280,0.615976901,7064,66.2,33.8,58.8,2441,2078,0.851290455,363,0.148709545,2078,738,37,0,0,37,1340,244,55,0,299,336,0.161693936,7497,2183,29.1,1243,0.165799653,2715,0.362144858,3871,0.516339869,4372,0.5831666,4580,0.610911031,2078,603,0.290182868,1475
20901,48,5004,30.7,50.2,49.8,21.5,0,22.2,0,6.6,2.5,30.1,24.2,75.8,4484,25.1,3170,16,21.3,23.1,26.9,12.7,3775,5.3,717,0.189933775,5004,2696,0.538768985,2308,0.461231015,1695,259,0.15280236,38799,1695,493,0,23,470,300,84,54,32,1202,21,706,475,350,60,58,7,945,0.557522124,4484,74.9,25.1,30.1,2151,1695,0.788005579,456,0.211994421,1695,493,3,0,0,3,1202,67,49,0,116,119,0.07020649,5004,1413,28.2,561,0.112110312,1792,0.358113509,2551,0.509792166,2959,0.591326938,3072,0.613908873,1695,324,0.191150442,1371
20902,55,4155,37.9,53.2,46.8,17.6,0,19.4,0,0.4,0.4,11.7,50.9,49.1,3844,26,2913,13.5,36.7,20.6,21.8,7.4,3300,5.3,685,0.207575758,4155,2212,0.532370638,1943,0.467629362,1533,160,0.104370515,33114,1533,924,9,38,877,485,244,79,69,609,0,276,333,308,13,12,0,1210,0.789302022,3844,74,26,36.9,1703,1533,0.90017616,170,0.09982384,1533,924,99,10,0,109,609,2,33,12,47,156,0.101761252,3930,1048,26.7,408,0.103816794,1180,0.300254453,1746,0.444274809,2141,0.544783715,2238,0.569465649,1533,329,0.214611872,1204
30101,36.2,3613,45,48.5,51.5,20.6,0,10.4,0,1.7,2.5,19.3,46.4,53.6,3613,11.6,3172,5,8.2,25.7,36.2,24.9,3382,8.7,514,0.151981076,3613,2470,0.683642402,1143,0.316357598,2200,171,0.077727273,41188,2200,941,0,76,865,381,251,25,208,1259,41,631,587,475,57,55,0,1452,0.66,3613,88.4,11.6,25.1,2490,2200,0.883534137,290,0.116465863,2200,941,0,0,0,0,1259,122,22,0,144,144,0.065454545,3613,759,21,178,0.049266538,850,0.235261555,898,0.248546914,1144,0.316634376,1353,0.374481041,2200,285,0.129545455,1915
30102,23.5,2880,39.8,46.5,53.5,22.8,0.4,14.2,0,2.6,3.8,15.1,44.8,55.2,2799,14.1,2550,7.4,14.5,30.3,26.5,21.3,2712,14.9,369,0.136061947,2880,2038,0.707638889,842,0.292361111,1717,154,0.089691322,43632,1717,803,0,99,704,351,230,109,14,914,46,543,325,309,16,0,0,1029,0.599301107,2799,85.9,14.1,44,2114,1717,0.812204352,397,0.187795648,1717,803,13,0,0,13,914,0,16,0,16,29,0.016889924,2829,409,14.5,211,0.074584659,529,0.18699187,611,0.215977377,940,0.332272888,949,0.335454224,1717,177,0.103086779,1540
30103,12.7,2347,33.1,47.9,52.1,16.8,0.2,17.2,0.7,6.9,2.9,16.2,48.2,51.8,2324,19.8,1578,14.6,13.8,16.7,31.3,23.6,2260,8.5,346,0.153097345,2347,1464,0.623775032,883,0.376224968,1077,0,0,37383,1077,250,0,74,176,85,30,53,8,827,46,550,231,144,87,0,0,407,0.377901578,2324,80.2,19.8,24.6,1208,1077,0.891556291,131,0.108443709,1077,250,10,0,0,10,827,11,0,0,11,21,0.019498607,1820,354,19.5,80,0.043956044,458,0.251648352,675,0.370879121,703,0.386263736,741,0.407142857,1077,120,0.111420613,957
30104,9.5,3487,21.9,49.4,50.6,12.4,0,17.1,0,1.9,10.4,10.6,50.5,49.5,3478,10.1,1486,9.9,16.8,25.2,33,15,3421,14.4,659,0.192633733,3487,2537,0.727559507,950,0.272440493,1167,19,0.016281063,36529,1167,315,3,72,240,143,77,15,5,852,6,620,226,184,19,23,0,466,0.399314482,3478,89.9,10.1,26.1,1276,1167,0.914576803,109,0.085423197,1167,315,0,0,0,0,852,0,17,0,17,17,0.014567266,1857,740,39.8,365,0.196553581,783,0.421647819,843,0.453957997,901,0.485191169,924,0.497576737,1167,253,0.216795201,914
30200,33,4978,39.6,52.2,47.8,3.4,0,3.9,0,0.3,1.5,16.6,76,24,4700,9.4,3772,5.5,11,20.4,30.7,32.3,4390,7.5,457,0.104100228,4978,4217,0.84712736,761,0.15287264,2400,89,0.037083333,67700,2400,1194,0,283,911,483,229,64,135,1206,4,706,496,399,43,27,27,1407,0.58625,4700,90.6,9.4,57.5,2718,2400,0.883002208,318,0.116997792,2400,1194,0,0,0,0,1206,0,41,0,41,41,0.017083333,4968,523,10.5,224,0.045088567,796,0.160225443,978,0.196859903,1067,0.214774557,1080,0.217391304,2400,60,0.025,2340
30300,42.8,3231,35.5,55.1,44.9,10.3,0,10.9,0,10.1,2.6,38.9,38.4,61.6,3099,20.7,2276,18.2,21.2,27.4,18.5,14.7,2674,8.2,420,0.157068063,3231,1991,0.616217889,1240,0.383782111,1414,106,0.074964639,36020,1414,431,0,48,383,164,152,53,14,983,0,500,483,326,102,51,4,866,0.612446959,3099,79.3,20.7,36.5,1538,1414,0.919375813,124,0.080624187,1414,431,21,0,0,21,983,73,0,0,73,94,0.066478076,3231,800,24.8,131,0.040544723,1041,0.322191272,1378,0.426493346,1476,0.456824513,1514,0.468585577,1414,269,0.190240453,1145
30400,44.3,2632,34,50.6,49.4,13.2,0,7.8,0,4.4,2.7,32,46,54,2403,20.1,1867,12.3,18.9,19.3,32.2,17.4,2201,18.1,416,0.189004998,2632,1817,0.690349544,815,0.309650456,1246,184,0.147672552,41250,1246,449,6,52,391,242,95,13,41,797,26,422,349,263,63,23,0,740,0.593900482,2403,79.9,20.1,42.6,1358,1246,0.917525773,112,0.082474227,1246,449,0,0,0,0,797,0,25,21,46,46,0.036918138,2632,733,27.8,453,0.172112462,935,0.355243161,1024,0.389057751,1048,0.398176292,1077,0.409194529,1246,381,0.305778491,865
30500,29.1,6160,35,48.8,51.2,5.7,0,7.7,0,2.9,2.4,28.5,57.2,42.8,5836,12.9,4950,13.3,13,15.5,31.4,26.7,5222,2.7,512,0.098046725,6160,4931,0.800487013,1229,0.199512987,2871,199,0.069313828,62453,2871,1109,26,228,855,517,208,72,58,1762,24,943,795,612,117,40,26,1650,0.574712644,5836,87.1,12.9,42.3,3229,2871,0.889129762,358,0.110870238,2871,1109,18,13,0,31,1762,32,19,85,136,167,0.058167886,6033,948,15.7,319,0.052875849,1166,0.193270346,1220,0.202221117,1743,0.28891099,1779,0.29487817,2871,166,0.057819575,2705
30601,35,3788,41.8,61.6,38.4,27.2,0,9.3,0,0.2,1.6,8.4,53.4,46.6,3683,21.5,2970,6.8,22.9,21.6,30.8,17.8,3468,9.7,518,0.149365629,3788,2514,0.663674762,1274,0.336325238,2007,55,0.027404086,38822,2007,828,16,74,738,427,144,80,87,1179,63,669,447,296,93,17,41,1185,0.590433483,3683,78.5,21.5,44.8,2309,2007,0.869207449,302,0.130792551,2007,828,0,0,0,0,1179,37,120,54,211,211,0.105132038,3596,769,21.4,298,0.082869855,1108,0.308120133,1277,0.355116796,1534,0.426585095,1586,0.441045606,2007,315,0.156950673,1692
30603,29.2,1991,30.4,52.3,47.7,34.3,2.3,17.3,0,1.8,2.4,8.6,35.6,64.4,1967,11.7,1333,7.2,19.3,24.5,28,21.1,1665,10.5,533,0.32012012,1991,1060,0.532395781,931,0.467604219,1149,132,0.114882507,28631,1149,127,0,6,121,98,16,0,7,1022,21,698,303,241,62,0,0,424,0.369016536,1967,88.3,11.7,48.3,1387,1149,0.828406633,238,0.171593367,1149,127,0,0,0,0,1022,43,81,28,152,152,0.132288947,1984,705,35.5,404,0.203629032,734,0.369959677,929,0.468245968,1062,0.535282258,1096,0.552419355,1149,237,0.206266319,912
30604,34.4,2910,41.7,52.4,47.6,20.7,0,21.8,0,0,3.4,3.3,51.3,48.7,2804,14.9,2528,4.1,17.8,24.2,35.7,18.2,2670,6,459,0.171910112,2910,1879,0.645704467,1031,0.354295533,1960,75,0.038265306,32069,1960,599,0,115,484,295,85,41,63,1361,67,842,452,356,76,20,0,936,0.47755102,2804,85.1,14.9,34,2238,1960,0.875781948,278,0.124218052,1960,599,0,0,0,0,1361,27,22,0,49,49,0.025,2910,645,22.2,316,0.108591065,797,0.273883162,940,0.323024055,1118,0.38419244,1197,0.411340206,1960,246,0.125510204,1714
30701,31.7,1721,36.5,57.4,42.6,18.7,0.4,14.2,0,1.9,8.7,13,47.7,52.3,1606,17.7,1357,15.5,12.8,33.9,27,10.8,1527,15.1,257,0.168303864,1721,1232,0.71586287,489,0.28413713,935,59,0.063101604,33504,935,197,7,66,124,99,20,5,0,738,30,503,205,135,70,0,0,329,0.351871658,1606,82.3,17.7,54,968,935,0.965909091,33,0.034090909,935,197,0,0,0,0,738,17,17,22,56,56,0.059893048,1542,478,31,183,0.118677043,557,0.361219196,619,0.401426719,710,0.460440986,766,0.496757458,935,139,0.148663102,796
30702,39.6,1457,50.4,48.2,51.8,9.2,0,16.1,0,0,0.4,1.7,73,27,1450,20.3,1361,1.5,11.7,24.5,35.6,26.7,1410,7.8,108,0.076595745,1457,829,0.568977351,628,0.431022649,989,35,0.035389282,48870,989,661,5,30,626,253,192,133,48,328,0,252,76,59,12,5,0,702,0.709807887,1450,79.7,20.3,26.1,1165,989,0.848927039,176,0.151072961,989,661,0,0,0,0,328,0,73,0,73,73,0.073811931,1457,113,7.8,23,0.015785861,188,0.129032258,238,0.163349348,273,0.187371311,346,0.237474262,989,17,0.01718908,972
30703,35.6,2736,37.4,50,50,16.6,0,6,0,2.2,6,8.4,63.2,36.8,2590,12.3,2262,5,8.2,26.1,36.8,24,2517,6.3,229,0.090981327,2736,2216,0.80994152,520,0.19005848,1677,86,0.051282051,46174,1677,477,23,54,400,318,28,54,0,1200,40,513,647,443,154,29,21,1047,0.624329159,2590,87.7,12.3,52.1,1925,1677,0.871168831,248,0.128831169,1677,477,0,0,0,0,1200,10,38,0,48,48,0.02862254,2736,375,13.7,153,0.055921053,515,0.188230994,586,0.214181287,805,0.294225146,861,0.314692982,1677,299,0.178294574,1378
30706,54.6,3578,47.6,48.3,51.7,20.6,0,14.3,0,2.6,4.6,6.8,54.7,45.3,3425,20.4,3110,8.8,19.3,25.7,21.7,24.5,3237,2.2,417,0.128822984,3578,2350,0.656791504,1228,0.343208496,2442,125,0.051187551,36362,2442,832,0,162,670,352,219,85,14,1610,31,720,859,647,133,79,0,1529,0.626126126,3425,79.6,20.4,7.3,2681,2442,0.910854159,239,0.089145841,2442,832,0,0,0,0,1610,28,62,0,90,90,0.036855037,3578,779,21.8,417,0.116545556,845,0.236165456,964,0.269424259,1243,0.347400783,1312,0.366685299,2442,291,0.119164619,2151
30800,39.2,4176,38.8,49.3,50.7,4.5,0,13.3,0,1.5,7.5,12.3,62.8,37.2,3864,5.8,3381,6.7,8.8,13.2,41.6,29.6,3638,9.5,242,0.066520066,4176,3397,0.813457854,779,0.186542146,1989,72,0.036199095,70361,1989,1026,0,120,906,349,232,239,86,963,12,533,418,358,60,0,0,1324,0.665661136,3864,94.2,5.8,29.9,2267,1989,0.877370975,278,0.122629025,1989,1026,0,0,0,0,963,0,0,0,0,0,0,4037,301,7.5,260,0.064404261,353,0.087441169,361,0.089422839,538,0.133267278,613,0.15184543,1989,53,0.026646556,1936
30900,26.7,3188,37.7,51,49,11.4,0.2,13.8,0,4.2,1.4,16.8,58.9,41.1,2981,11,2668,7.2,9.2,24.3,33.7,25.6,2829,2.6,78,0.02757158,3188,2500,0.784190715,688,0.215809285,1435,139,0.096864111,80657,1435,512,10,44,458,234,89,64,71,923,8,426,489,381,22,48,38,947,0.659930314,2981,89,11,33.2,1522,1435,0.942838371,87,0.057161629,1435,512,0,0,0,0,923,0,0,0,0,0,0,3188,101,3.2,37,0.011606023,152,0.047678795,159,0.049874529,271,0.085006274,343,0.107590966,1435,156,0.108710801,1279
